consulta	nombre	categoria	direccion	pagina_web	telefono
carniceria	Carnes Miro LTDA.	Carnicerias	José Manuel Balmaceda 151 PUENTE Alto - RM	www.carnesmiro.cl	(+56)222505310
carniceria	Ganadera Real	Carnicerias	Av Pedro Montt 1850 Valparaíso - V Región	NA	(+56)322234698
carniceria	Carnicería Chancho a la Chilena	Carnicerias	Las Heras 723 Valparaíso - V Región	NA	(+56)322250741
carniceria	Carnes Don Ángel	Carnicerias	Pje Pdte Jorge Montt 246 Punta Arenas - XII Región	NA	(+56)612225665
carniceria	Metalmachine	Tornerias En Metal	Av Los Zapadores 889 RECOLETA - RM	www.metalmachinespa.cl	(+56)990960462
carniceria	Ferretería Ramírez	Supermercados	Emilio Cuevas 384 Doñihue - VI Región	NA	(+56)722462341
carniceria	Carnes y Cecinas Pincheira LTDA.	Cecinas	. . Calle Serrano 455- San carlos San Carlos - XVI Región	www.cecinaspincheira.cl	(+56)422411412
carniceria	Carniceria los Pesebres	Carnicerias	Angamos 151 Punta Arenas - XII Región	www.carnicerialospesebres.cl	(+56)612229572
carniceria	Castelblanco y CIA.	Carnicerias	Av Irarrázaval 721 ÑUÑOA - RM	NA	(+56)222256656
carniceria	Carniceria Dona Cata Limitada	Carnicerias	Av Padre Hurtado 12657 EL Bosque - RM	NA	(+56)225150615
carniceria	Carniceria Don Raul	Carnicerias	Av Tomé 0614 LA Granja - RM	NA	(+56)225266686
carniceria	Munoz Mora Marco Eliseo	Carnicerias	Los Olmos 4162 MACUL - RM	NA	(+56)222716315
carniceria	Ganadera Res LTDA.	Carnicerias	Av Vitacura 5410 VITACURA - RM	www.carneofertas.cl	(+56)228603515
carniceria	Mendez Guajardo Marcos Javier	Carnicerias	Galo González 4496 PEDRO Aguirre Cerda - RM	www.carniceriamarquitosjr.cl	(+56)225634120
carniceria	Carnes el Productor	Carnicerias	Av Vicuña Mackenna Poniente 7405 LA Florida - RM	www.dinacar.cl	(+56)222839968
carniceria	Ganadera Rupanco	Carnicerias	Lago Rupanco 2687 PEÑALOLÉN - RM	NA	(+56)222787559
carniceria	Carnes Darc	Carnicerias	Av Pocuro 2159 PROVIDENCIA - RM	NA	(+56)222356682
carniceria	Minimarket Andres Patricio Varela	Carnicerias	J. V. Gandarillas 331 SAN Joaquín - RM	NA	(+56)225186712
carniceria	Ganadera los Angeles	Carnicerias	Almirante Barroso 818 SANTIAGO - RM	www.ganaderalosangeles.cl	(+56)226965101
carniceria	Musso Carnes Finas	Carnicerias	Cuevas 1402 SANTIAGO - RM	NA	(+56)225559142
carniceria	Carniceria Villa Olvido	Carnicerias	Pte. F.Errázuriz 401 Punta Arenas - XII Región	NA	(+56)612229885
carniceria	Establecimientos Linares	Carnicerias	Av Valparaíso 349 Viña del Mar - V Región	www.rancholinares.cl	(+56)322711427
carniceria	Carnicería la Ocho	Carnicerias	Diego Portales 0399 Punta Arenas - XII Región	NA	(+56)612262536
carniceria	Inmobiliaria el Rebano Ltda	Carnicerias	Cap. Juan Guillermos 046 Punta Arenas - XII Región	NA	(+56)612211166
carniceria	Peñailillo T. y CIA. LTDA. Luis Alberto	Carnicerias	Av Antofagasta 164 San Antonio - V Región	NA	(+56)352213193
carniceria	Vega Arriagada Nardy del Carmen	Carnicerias	Av 21 de Mayo 3225 Concepción - VIII Región	NA	(+56)412783981
carniceria	Fricarne	Carnicerias	Francisco Bilbao 618 Pitrufquén - IX Región	NA	(+56)452391258
