consulta	nombre	categoria	direccion	pagina_web	telefono
ferreteria	Ferretería Venegas	Ferreterias	Avda. Colón S/N Esq. Juan Minte Puerto Varas - X Región	www.ferreteriavenegas.cl	(56)652234091
ferreteria	Ferretería O'Higgins	Ferreterias Industriales	Av. Libertador B. OHiggins 2259 SANTIAGO - RM	www.villar.cl	(56)223831000
ferreteria	R Bustamante Constructora	Ferreterias	Isla de Yaquil S/N Santa Cruz - VI Región	NA	(56)994660640
ferreteria	Impregnadora Laguna LTDA.	Ferreterias	No Publica Dirección : Zapallar - V Región	www.impregnadora.cl	(56)957987591
ferreteria	Maderas Chile	Ferreterias	Arturo Fernández 837 Iquique - I Región	www.maderaschile.cl	(56)572411488
ferreteria	Ferretería las dos Estrellas S.A.	Ferreterias Industriales	Av Santa Rosa 2001 SANTIAGO - RM	www.dosestrellas.cl	(56)227700900
ferreteria	Materiales Casarino	Ferreterias	Santa Rosa 99 Los Andes - V Región	www.casarino.cl	(56)342421019
ferreteria	Ferretería Antofagasta	Ferreterias	Antofagasta 2898 SANTIAGO - RM	www.fantofagasta.cl	(56)226831547
ferreteria	Ferretería Casa Franco	Ferreterias	Camilo Henríquez 501 - 577 Curicó - VII Región	www.casafranco.cl	(56)752310326
ferreteria	Comercial el Peñón	Ferreterias	Pje. El Peñón 02399 PUENTE Alto - RM	www.comercialelpenon.cl	(56)228743926
ferreteria	Rentamac LTDA.	Ferreterias Industriales	Av. Valparaíso 01087 Temuco - IX Región	www.rentamac.cl	(56)452749213
ferreteria	Ferretería Harcha	Ferreterias	Pedro Lagos 543 Río Bueno - XIV Región	www.ferreteriaharcha.cl	(56)642341282
ferreteria	Quincallería San Luis	Ferreterias	Av. 10 de Julio 15A SANTIAGO - RM	www.quincalleriasanluis.cl	(56)222225376
ferreteria	Pernos Pacífico	Ferreterias	Av Angelmó 1724 Puerto Montt - X Región	www.pernospacifico.cl	(56)652268360
ferreteria	Afx Chile	Ferreterias	No Publica Dirección : Rancagua - VI Región	NA	(56)956589657
ferreteria	Comercial Full Pernos Ltda	Ferreterias	Av Circunvalación 243 Puerto Montt - X Región	NA	(56)652714636
ferreteria	Ferretería las Vegas	Ferreterias	Av. Baquedano 78 Coquimbo - IV Región	www.ferreterialasvegas.cl	(56)512311350
