consulta	nombre	categoria	direccion	pagina_web	telefono
laboratorio	Odontolab	Laboratorios Dentales	Baquedano 915 Antofagasta - II Región	www.odontolab.cl	(56)552788853
laboratorio	Diprolab M.R.	Equipos Para Laboratorios	Cruz 1126 Concepción - VIII Región	www.diprolab.cl	(56)412620730
laboratorio	Cds Diagnóstico	Laboratorios Clinicos	Moneda 1040 SANTIAGO - RM	NA	(56)226714105
laboratorio	Radiología Irus	Medicos Centros Medicos	18 de Septiembre 1045 Chillán - VIII Región	www.radiologiairus.cl	(56)422834851
laboratorio	Vida Integra	Laboratorios Clinicos	Apoquindo 3281 LAS Condes - RM	www.vidaintegra.cl	6006008432
laboratorio	Laboratorio Clínico 5 de Abril	Laboratorios Clinicos	Av Argentina 648 Chillán - VIII Región	www.laboratorio5deabril.cl	(56)422224425
laboratorio	Centro Médico Urmeneta	Medicos Centros Medicos	Av. J Tomás Urmeneta 950 Limache - V Región	www.centromedicourmenetalimache.cl	(56)332333820
laboratorio	Centro Radiológico Costanera	Medicos Centros Medicos	Pedro Lagos 1090 9 Iquique - I Región	www.radiologiacostanera.cl	(56)572416153
laboratorio	Edificio Médico Beauchef	Medicos Centros Medicos	Beauchef 723 Valdivia - XIV Región	NA	(56)632225422
laboratorio	Saba	Ropa De Trabajo	Maipú 839 Concepción - VIII Región	www.saba.cl	(56)412228609
laboratorio	Laboratorio Clínico Blanco	Laboratorios Clinicos	Salvador 31 - 41-65 PROVIDENCIA - RM	www.laboratorioblanco.cl	(56)224905500
laboratorio	Centro Médico Emsa	Medicos Centros Medicos	San Martín 1350 Concepción - VIII Región	www.centromedicoemsa.cl	(56)412290100
laboratorio	Gálvez e Hijos LTDA.	Tamices	General Mackenna 1579 SANTIAGO - RM	www.galvezehijos.cl	(56)226969339
laboratorio	Centro Médico Tenmédica	Medicos Centros Medicos	San Martín 1338 Concepción - VIII Región	NA	(56)412290184
laboratorio	Laboratorio Clínico Diagnostika	Laboratorios Clinicos	Beaucheff 925 Valdivia - XIV Región	www.laboratorioclinicodiagnostika.cl	(56)632249268
laboratorio	Molinstec	Ingenieria De Proyectos	Colo Colo 1151 Concepción - VIII Región	www.molinstec.cl	(56)412182750
laboratorio	Centro Médico Evaluamed	Laboratorios Clinicos	Av. Francisco Bilbao 3412 Dpto. 103 Iquique - I Región	www.evaluamed.cl	(56)572213863
laboratorio	Acqua Vita	Agua Purificada	No Publica Dirección : Villa Alemana - V Región	www.acquavitachile.cl	(56)992446526
laboratorio	Colordent	Laboratorios Dentales	No Publica Dirección : Curicó - VII Región	NA	(56)989817861
